"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест создания пользователя с пустым обязательным полем.","239","Attempt create user with empty email field","LMS service","Sun Aug 10 22:39:59 GMT 2025","passed","Sun Aug 10 22:40:00 GMT 2025","Validate entity","Users","",""
"
        Тест проверки аутентификации пользователя.

        Args:
            function_user (UserFixture): Пользователь для аутентификации.
            authentication_client (AuthenticationClient): Клиент для работы с аутентификацией.

        Raises:
            AssertionError: Если статус ответа не 200 OK или данные ответа не соответствуют ожиданиям.
            ValidationError: Если данные ответа не соответствуют схеме LoginResponseSchema.
        ","555","Login with correct email and password","LMS service","Sun Aug 10 22:39:33 GMT 2025","passed","Sun Aug 10 22:39:34 GMT 2025","Login","Authentication","",""
"Тест создания упражнения с слишком длинным строковым полем.","17","Attempt create exercise with to long value in estimated_time field","LMS service","Sun Aug 10 22:39:54 GMT 2025","passed","Sun Aug 10 22:39:54 GMT 2025","Validate entity","Exercises","",""
"
        Тест создания курса с некорректным идентификатором.

        Args:
            courses_client (CoursesClient): Клиент для работы с курсами.
            field_name (str): Имя поля, которое будет содержать
            некорректное значение в запросе.
        ","258","Attempt to create course with invalid preview_file_id field","LMS service","Sun Aug 10 22:39:36 GMT 2025","passed","Sun Aug 10 22:39:36 GMT 2025","Validate entity","Courses","",""
"Тест удаления пользователя с некорректным id.","20","Delete user with invalid id","LMS service","Sun Aug 10 22:40:04 GMT 2025","passed","Sun Aug 10 22:40:04 GMT 2025","Validate entity","Users","",""
"Тест создания пользователя.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","293","Create user","LMS service","Sun Aug 10 22:39:59 GMT 2025","passed","Sun Aug 10 22:39:59 GMT 2025","Create entity","Users","",""
"Тест удаления упражнения.","27","Delete exercise","LMS service","Sun Aug 10 22:39:44 GMT 2025","passed","Sun Aug 10 22:39:44 GMT 2025","Delete entity","Exercises","",""
"Тест создания пользователя.

        Args:
            public_users_client (PublicUsersClient): Клиент для работы с публичными users эндпоинтами API.

        Raises:
            AssertionError: Если статус код ответа не равен HTTPStatus.OK.
            ValidationError: Если данные ответа не соответствуют схеме.
        ","521","Create user","LMS service","Sun Aug 10 22:39:55 GMT 2025","passed","Sun Aug 10 22:39:55 GMT 2025","Create entity","Users","",""
"
        Тест проверяет, что при запросе несуществующего файла,
        в ответе сервера возвращается ошибка.

        Args:
            files_client (FilesClient): HTTP-клиент для взаимодействия с сервером.

        Raises:
            AssertionError: Если данные в ответе не совпадают с ожидаемыми.
        ","259","Get file with incorrect file id","LMS service","Sun Aug 10 22:39:59 GMT 2025","passed","Sun Aug 10 22:39:59 GMT 2025","Validate entity","Files","",""
"
        Тест получения курса.

        Args:
            function_course (CourseFixture): Фикстура с данными курса.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","29","Get course","LMS service","Sun Aug 10 22:39:38 GMT 2025","passed","Sun Aug 10 22:39:38 GMT 2025","Get entity","Courses","",""
"Тест обновления информации об упражнении.","26","Update exercise","LMS service","Sun Aug 10 22:39:43 GMT 2025","passed","Sun Aug 10 22:39:43 GMT 2025","Update entity","Exercises","",""
"
        Тест удаления курса.

        Args:
            function_course (CourseFixture): Фикстура с данными курса.
            courses_client (CoursesClient): Клиент для работы с курсами.
        ","300","Delete course","LMS service","Sun Aug 10 22:39:40 GMT 2025","passed","Sun Aug 10 22:39:40 GMT 2025","Delete entity","Courses","",""
